Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.10889,0.058557,-0.14231,0,0,0,5.3249,0.021938,-4.0175E-06,-1.4798E-06,0.023203,-7.8034E-06,0.014905,0,0,0,0,0,0,package://0517/meshes/Body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0517/meshes/Body.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://0517/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0517/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.31516,0.050812,0.026427,2.834,0,3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.008411,-6.9389E-18,0,0,0,0,0.21405,0.00024438,-8.7843E-22,1.5703E-21,0.00013645,-1.3553E-20,0.00013645,0,0,0,0,0,0,package://0517/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://0517/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0,-0.047479,0.052309,-2.4847,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://0517/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0517/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.10492,0.012128,0.026427,2.834,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.014171,0,0,0,0,0,0.21405,0.00024438,7.438E-22,-2.9693E-21,0.00013645,0,0.00013645,0,0,0,0,0,0,package://0517/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://0517/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0,-0.028286,0.058405,-0.36547,0,3.1416,RFS,-1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,-4.8069E-21,2.2036E-20,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://0517/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0517/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.31516,0.23081,0.01777,2.834,0,3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,3.6952E-07,-0.041409,0,0,0,0,0.022754,9.8996E-06,2.3871E-10,-4.3943E-22,3.7156E-06,3.686E-22,1.0825E-05,0,0,0,0,0,0,package://0517/meshes/LBC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://0517/meshes/LBC.STL,,caster-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,LBS,0,1,0,,,,,,,,,,,,
LBW,-1.2669E-05,0,0,0,0,0,0.052036,2.1966E-05,-1.0033E-21,1.1349E-21,1.254E-05,0,1.254E-05,0,0,0,0,0,0,package://0517/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://0517/meshes/LBW.STL,,wheel_small-2,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0698,0,-2.9677,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,1.0291E-20,-2.4349E-20,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://0517/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://0517/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.099161,0.19919,0.01777,2.834,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,3.6952E-07,-0.041409,-2.7756E-17,0,0,0,0.022754,9.8996E-06,2.3871E-10,5.294E-22,3.7156E-06,-1.0282E-21,1.0825E-05,0,0,0,0,0,0,package://0517/meshes/RBC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://0517/meshes/RBC.STL,,caster-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.016816,0.00071326,-1.2632,0.0048755,-0.015346,RBS,0,1,0,,,,,,,,,,,,
RBW,-1.2669E-05,0,0,0,0,0,0.052036,2.1966E-05,2.1176E-22,1.1779E-21,1.254E-05,-1.2705E-21,1.254E-05,0,0,0,0,0,0,package://0517/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://0517/meshes/RBW.STL,,wheel_small-1,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0698,0,-0.70587,0,-3.1416,RBC,-1,0,0,3.1,7,,,,,,,,,,
